conversion,germline,ratio,avg_960_to_1010,avg_110_to_160,
0.65,0.75,0.1,,0.921956471,0.921956471
0.65,0.8,0.1,,0.759291742,0.759291742
0.65,0.85,0.1,,0.702485971,0.702485971
0.65,0.9,0.1,,0.668464956,0.668464956
0.65,0.95,0.1,,0.647641154,0.647641154
0.65,1,0.1,,0.632119916,0.632119916
0.7,0,0.6,0.731514952,,0.731514952
0.7,0.05,0.6,0.743136834,,0.743136834
0.7,0.1,0.6,0.761477697,,0.761477697
0.7,0.15,0.6,0.774065637,,0.774065637
0.7,0.2,0.6,0.785764731,,0.785764731
0.7,0.25,0.6,0.79796735,,0.79796735
0.7,0.3,0.1,,0.814499393,0.814499393
0.7,0.35,0.1,,0.826167608,0.826167608
0.7,0.4,0.1,,0.84012422,0.84012422
0.7,0.45,0.1,,0.852957957,0.852957957
0.7,0.5,0.1,,0.866889811,0.866889811
0.7,0.55,0.1,,0.879921874,0.879921874
0.7,0.6,0.1,,0.893533868,0.893533868
0.7,0.65,0.1,,0.906601901,0.906601901
0.7,0.7,0.1,,0.920231353,0.920231353
0.7,0.75,0.1,,0.933391497,0.933391497
0.7,0.8,0.1,,0.792038679,0.792038679
0.7,0.85,0.1,,0.74363464,0.74363464
0.7,0.9,0.1,,0.71741837,0.71741837
0.7,0.95,0.1,,0.690459658,0.690459658
0.7,1,0.1,,0.679199779,0.679199779
0.75,0,0.6,0.778686568,,0.778686568
0.75,0.05,0.6,0.787826941,,0.787826941
0.75,0.1,0.6,0.798129403,,0.798129403
0.75,0.15,0.6,0.812512553,,0.812512553
0.75,0.2,0.6,0.822478446,,0.822478446
0.75,0.25,0.6,0.832349729,,0.832349729
0.75,0.3,0.1,,0.844912585,0.844912585
0.75,0.35,0.1,,0.854996102,0.854996102
0.75,0.4,0.1,,0.866701944,0.866701944
0.75,0.45,0.1,,0.877438103,0.877438103
0.75,0.5,0.1,,0.888529101,0.888529101
0.75,0.55,0.1,,0.899872075,0.899872075
0.75,0.6,0.1,,0.911154388,0.911154388
0.75,0.65,0.1,,0.922277632,0.922277632
0.75,0.7,0.1,,0.933157542,0.933157542
0.75,0.75,0.1,,0.944253095,0.944253095
0.75,0.8,0.1,,0.818625902,0.818625902
0.75,0.85,0.1,,0.780497271,0.780497271
0.75,0.9,0.1,,0.756819525,0.756819525
0.75,0.95,0.1,,0.741098749,0.741098749
0.75,1,0.1,,0.728051902,0.728051902
0.8,0,0.6,0.822500277,,0.822500277
0.8,0.05,0.6,0.830285732,,0.830285732
0.8,0.1,0.6,0.840130477,,0.840130477
0.8,0.15,0.6,0.848871505,,0.848871505
0.8,0.2,0.6,0.857160346,,0.857160346
0.8,0.25,0.6,0.866927616,,0.866927616
0.8,0.3,0.1,,0.875229299,0.875229299
0.8,0.35,0.1,,0.884589245,0.884589245
0.8,0.4,0.1,,0.893498521,0.893498521
0.8,0.45,0.1,,0.902066558,0.902066558
0.8,0.5,0.1,,0.910976108,0.910976108
0.8,0.55,0.1,,0.919968049,0.919968049
0.8,0.6,0.1,,0.928654084,0.928654084
0.8,0.65,0.1,,0.937863995,0.937863995
0.8,0.7,0.1,,0.946666697,0.946666697
0.8,0.75,0.1,,0.93834294,0.93834294
0.8,0.8,0.1,,0.836024104,0.836024104
0.8,0.85,0.1,,0.811114367,0.811114367
0.8,0.9,0.1,,0.794034812,0.794034812
0.8,0.95,0.1,,0.779433642,0.779433642
0.8,1,0.1,,0.768673606,0.768673606
0.85,0,0.6,0.866859837,,0.866859837
0.85,0.05,0.6,0.872978848,,0.872978848
0.85,0.1,0.6,0.880226982,,0.880226982
0.85,0.15,0.6,0.886577386,,0.886577386
0.85,0.2,0.6,0.893016675,,0.893016675
0.85,0.25,0.6,0.899995743,,0.899995743
0.85,0.3,0.1,,0.906704182,0.906704182
0.85,0.35,0.1,,0.913047269,0.913047269
0.85,0.4,0.1,,0.919718797,0.919718797
0.85,0.45,0.1,,0.926585445,0.926585445
0.85,0.5,0.1,,0.933460822,0.933460822
0.85,0.55,0.1,,0.940077864,0.940077864
0.85,0.6,0.1,,0.946678779,0.946678779
0.85,0.65,0.1,,0.953260291,0.953260291
0.85,0.7,0.1,,0.959979025,0.959979025
0.85,0.75,0.1,,0.88520579,0.88520579
0.85,0.8,0.1,,0.851354303,0.851354303
0.85,0.85,0.1,,0.836302753,0.836302753
0.85,0.9,0.1,,0.825912572,0.825912572
0.85,0.95,0.1,,0.816197829,0.816197829
0.85,1,0.1,,0.805887245,0.805887245
0.9,0,0.6,0.910908706,,0.910908706
0.9,0.05,0.6,0.915441809,,0.915441809
0.9,0.1,0.6,0.919980671,,0.919980671
0.9,0.15,0.6,0.924420636,,0.924420636
0.9,0.2,0.6,0.928942771,,0.928942771
0.9,0.25,0.6,0.933235731,,0.933235731
0.9,0.3,0.1,,0.937803012,0.937803012
0.9,0.35,0.1,,0.942085774,0.942085774
0.9,0.4,0.1,,0.946693068,0.946693068
0.9,0.45,0.1,,0.951166374,0.951166374
0.9,0.5,0.1,,0.955496355,0.955496355
0.9,0.55,0.1,,0.959938778,0.959938778
0.9,0.6,0.1,,0.96418241,0.96418241
0.9,0.65,0.1,,0.954844176,0.954844176
0.9,0.7,0.1,,0.90371837,0.90371837
0.9,0.75,0.1,,0.877928369,0.877928369
0.9,0.8,0.1,,0.86755392,0.86755392
0.9,0.85,0.1,,0.859702379,0.859702379
0.9,0.9,0.1,,0.85326658,0.85326658
0.9,0.95,0.1,,0.845518421,0.845518421
0.9,1,0.1,,0.841843709,0.841843709
0.95,0,0.6,0.955503698,,0.955503698
0.95,0.05,0.6,0.957932489,,0.957932489
0.95,0.1,0.6,0.959818987,,0.959818987
0.95,0.15,0.6,0.962079642,,0.962079642
0.95,0.2,0.6,0.964433157,,0.964433157
0.95,0.25,0.6,0.966425777,,0.966425777
0.95,0.3,0.1,,0.968873063,0.968873063
0.95,0.35,0.1,,0.971134967,0.971134967
0.95,0.4,0.1,,0.971054378,0.971054378
0.95,0.45,0.1,,0.951631807,0.951631807
0.95,0.5,0.1,,0.924953432,0.924953432
0.95,0.55,0.1,,0.915934443,0.915934443
0.95,0.6,0.1,,0.899973773,0.899973773
0.95,0.65,0.1,,0.89430516,0.89430516
0.95,0.7,0.1,,0.892340409,0.892340409
0.95,0.75,0.1,,0.884822908,0.884822908
0.95,0.8,0.1,,0.882950063,0.882950063
0.95,0.85,0.1,,0.879908245,0.879908245
0.95,0.9,0.1,,0.876762095,0.876762095
0.95,0.95,0.1,,0.875342463,0.875342463
0.95,1,0.1,,0.871395135,0.871395135
1,0,0.6,0.899281609,,0.899281609
1,0.05,0.6,0.900205919,,0.900205919
1,0.1,0.6,0.898753282,,0.898753282
1,0.15,0.6,0.900179783,,0.900179783
1,0.2,0.6,0.899602301,,0.899602301
1,0.25,0.6,0.898902056,,0.898902056
1,0.3,0.1,,0.899822157,0.899822157
1,0.35,0.1,,0.898533813,0.898533813
1,0.4,0.1,,0.899912693,0.899912693
1,0.45,0.1,,0.898842392,0.898842392
1,0.5,0.1,,0.899447142,0.899447142
1,0.55,0.1,,0.899024813,0.899024813
1,0.6,0.1,,0.900259467,0.900259467
1,0.65,0.1,,0.897824643,0.897824643
1,0.7,0.1,,0.898560107,0.898560107
1,0.75,0.1,,0.897495988,0.897495988
1,0.8,0.1,,0.898622255,0.898622255
1,0.85,0.1,,0.898556655,0.898556655
1,0.9,0.1,,0.898600458,0.898600458
1,0.95,0.1,,0.899278403,0.899278403
1,1,0.1,,0.899665222,0.899665222
