conversion,germline,ratio,avg_960_to_1010,avg_110_to_160
0.65,0.6,0.1,0.766296353,
0.65,0.65,0.1,0.791954176,
0.65,0.7,0.1,0.819135745,
0.65,0.75,0.1,0.847733242,
0.65,0.8,0.1,0.878843797,
0.65,0.85,0.1,0.905375196,
0.65,0.9,0.1,0.937629275,
0.65,0.95,0.1,0.972039752,
0.65,1,0.1,1,
0.7,0,0.6,0.554430036,
0.7,0.05,0.6,0.563861559,
0.7,0.1,0.6,0.590538196,
0.7,0.15,0.6,0.600320618,
0.7,0.2,0.6,0.619076196,
0.7,0.25,0.6,0.638676105,
0.7,0.3,0.1,0.662277938,
0.7,0.35,0.1,0.689231333,
0.7,0.4,0.1,0.709452686,
0.7,0.45,0.1,0.72816031,
0.7,0.5,0.1,0.753610876,
0.7,0.55,0.1,0.774265026,
0.7,0.6,0.1,0.798628592,
0.7,0.65,0.1,0.819735725,
0.7,0.7,0.1,0.846307251,
0.7,0.75,0.1,0.8703276,
0.7,0.8,0.1,0.894112502,
0.7,0.85,0.1,0.920966859,
0.7,0.9,0.1,0.952292902,
0.7,0.95,0.1,0.980779267,
0.7,1,0.1,1,
0.75,0,0.6,0.607157643,
0.75,0.05,0.6,0.629108698,
0.75,0.1,0.6,0.640051996,
0.75,0.15,0.6,0.658239016,
0.75,0.2,0.6,0.687063263,
0.75,0.25,0.6,0.701419404,
0.75,0.3,0.1,0.716458478,
0.75,0.35,0.1,0.734582078,
0.75,0.4,0.1,0.756731624,
0.75,0.45,0.1,0.770651446,
0.75,0.5,0.1,0.793372926,
0.75,0.55,0.1,0.812947435,
0.75,0.6,0.1,0.832442808,
0.75,0.65,0.1,0.854179325,
0.75,0.7,0.1,0.872025196,
0.75,0.75,0.1,0.892324565,
0.75,0.8,0.1,0.91464362,
0.75,0.85,0.1,0.931244255,
0.75,0.9,0.1,0.959196149,
0.75,0.95,0.1,0.985203431,
0.75,1,0.1,1,
0.8,0,0.6,0.688101945,
0.8,0.05,0.6,0.699629431,
0.8,0.1,0.6,0.71262871,
0.8,0.15,0.6,0.723220667,
0.8,0.2,0.6,0.735894341,
0.8,0.25,0.6,0.756299624,
0.8,0.3,0.1,0.770738753,
0.8,0.35,0.1,0.784839545,
0.8,0.4,0.1,0.803664686,
0.8,0.45,0.1,0.816829663,
0.8,0.5,0.1,0.834523855,
0.8,0.55,0.1,0.848147329,
0.8,0.6,0.1,0.865739549,
0.8,0.65,0.1,0.878161769,
0.8,0.7,0.1,0.897478408,
0.8,0.75,0.1,0.912790804,
0.8,0.8,0.1,0.931531357,
0.8,0.85,0.1,0.948858878,
0.8,0.9,0.1,0.969322863,
0.8,0.95,0.1,0.987636067,
0.8,1,0.1,1,
0.85,0,0.6,0.756654294,
0.85,0.05,0.6,0.769834965,
0.85,0.1,0.6,0.779871843,
0.85,0.15,0.6,0.789494012,
0.85,0.2,0.6,0.801041525,
0.85,0.25,0.6,0.811552376,
0.85,0.3,0.1,0.825365506,
0.85,0.35,0.1,0.837713176,
0.85,0.4,0.1,0.848810514,
0.85,0.45,0.1,0.861687447,
0.85,0.5,0.1,0.871295498,
0.85,0.55,0.1,0.886854918,
0.85,0.6,0.1,0.897085059,
0.85,0.65,0.1,0.910718224,
0.85,0.7,0.1,0.927545345,
0.85,0.75,0.1,0.935251773,
0.85,0.8,0.1,0.952776388,
0.85,0.85,0.1,0.96537702,
0.85,0.9,0.1,0.977587588,
0.85,0.95,0.1,0.990193561,
0.85,1,0.1,1,
0.9,0,0.6,0.833757216,
0.9,0.05,0.6,0.841380906,
0.9,0.1,0.6,0.850061847,
0.9,0.15,0.6,0.857127498,
0.9,0.2,0.6,0.866243008,
0.9,0.25,0.6,0.873787459,
0.9,0.3,0.1,0.881984161,
0.9,0.35,0.1,0.891353263,
0.9,0.4,0.1,0.89904424,
0.9,0.45,0.1,0.908117722,
0.9,0.5,0.1,0.912018153,
0.9,0.55,0.1,0.92762731,
0.9,0.6,0.1,0.934484361,
0.9,0.65,0.1,0.937687314,
0.9,0.7,0.1,0.949583612,
0.9,0.75,0.1,0.958685082,
0.9,0.8,0.1,0.967215847,
0.9,0.85,0.1,0.972263184,
0.9,0.9,0.1,0.984957604,
0.9,0.95,0.1,0.994693284,
0.9,1,0.1,1,
0.95,0,0.6,0.921385676,
0.95,0.05,0.6,0.917364402,
0.95,0.1,0.6,0.92206975,
0.95,0.15,0.6,0.932574564,
0.95,0.2,0.6,0.936995181,
0.95,0.25,0.6,0.938108304,
0.95,0.3,0.1,0.936229725,
0.95,0.35,0.1,0.945793583,
0.95,0.4,0.1,0.949229294,
0.95,0.45,0.1,0.953010975,
0.95,0.5,0.1,0.958077127,
0.95,0.55,0.1,0.964870686,
0.95,0.6,0.1,0.964588015,
0.95,0.65,0.1,0.969179667,
0.95,0.7,0.1,0.976582113,
0.95,0.75,0.1,0.982000319,
0.95,0.8,0.1,0.988314098,
0.95,0.85,0.1,0.991437863,
0.95,0.9,0.1,0.994899008,
0.95,0.95,0.1,0.997742357,
0.95,1,0.1,1,
1,0,0.6,1,
1,0.05,0.6,1,
1,0.1,0.6,1,
1,0.15,0.6,1,
1,0.2,0.6,1,
1,0.25,0.6,1,
1,0.3,0.1,1,
1,0.35,0.1,1,
1,0.4,0.1,1,
1,0.45,0.1,1,
1,0.5,0.1,1,
1,0.55,0.1,1,
1,0.6,0.1,1,
1,0.65,0.1,1,
1,0.7,0.1,1,
1,0.75,0.1,1,
1,0.8,0.1,1,
1,0.85,0.1,1,
1,0.9,0.1,1,
1,0.95,0.1,1,
1,1,0.1,1,
